WORK_ID,MP_NAME,WORK,CATEGORY,STATE,CONSTITUENCY,IDA,CITY,WARD,BLOCK,VILLAGE,RECOMMENDED_DATE,ALLOCATION_AMOUNT,IDA_APPROVAL,STATUS,HOUSE,is_fraud,fraud_type
974f1fee,MP 0274,NA - renovation of government school building,Normal/Others,Rajasthan,Rajasthan Constituency 274,IDA 0075,,Ward 25,,,2023-04-30,710172,Approved by IDA,Sanctioned,Rajya Sabha,1,ghost_project
8ca10a23,MP 0024,NA - construction of drainage system,Normal/Others,Assam,Assam Constituency 24,IDA 0156,,,,,2023-08-01,8514115,Action Pending,Unsanctioned,Lok Sabha,1,overpricing
c8e9d282,MP 0037,NA - installation of RO water purification unit,Normal/Others,Kerala,Kerala Constituency 37,IDA 0177,,,,,2023-08-31,273487,Approved by IDA,Unsanctioned,Lok Sabha,0,
4cd7fac7,MP 0199,NA - construction of community hall,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 199,IDA 0251,,,,Village 33,2023-10-27,1771388,Approved by IDA,Sanctioned,Lok Sabha,0,
56aec5a4,MP 0079,NA - construction of community hall,Normal/Others,Gujarat,Gujarat Constituency 79,IDA 0302,,Ward 8,Block 12,,2023-07-06,3091361,Approved by IDA,Unsanctioned,Lok Sabha,0,
34c8b717,MP 0202,NA - installation of RO water purification unit,Normal/Others,Karnataka,Karnataka Constituency 202,IDA 0274,,,Block 4,,2023-10-02,275168,Approved by IDA,Unsanctioned,Lok Sabha,1,duplicate
6ebf1a61,MP 0062,NA - construction of cremation ground shed,Normal/Others,Kerala,Kerala Constituency 62,IDA 0235,,,,Village 19,2024-01-18,481574,Action Pending,Unsanctioned,Lok Sabha,0,
a70a118c,MP 0211,NA - repair of internal roads,Normal/Others,Rajasthan,Rajasthan Constituency 211,IDA 0006,,Ward 25,,,2023-12-02,2208770,Action Pending,Unsanctioned,Lok Sabha,0,
630c1873,MP 0208,NA - construction of drainage system,Normal/Others,Karnataka,Karnataka Constituency 208,IDA 0321,,Ward 15,,Village 69,2023-05-06,1532201,Approved by IDA,Unsanctioned,Lok Sabha,0,
aace782b,MP 0156,NA - installation of CCTV surveillance system,Normal/Others,Punjab,Punjab Constituency 156,IDA 0066,,,Block 6,,2024-01-05,576421,Action Pending,Ongoing,Rajya Sabha,0,
